image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,trialImage.stopped,polygon.stopped,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/44_Will_Smith_0007.jpg,non_target,0,0,0,0,0,61,61,65,,,,,,,,,,,,,186.48542149999412,186.48542149999412,186.98611289999099,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/19_Margot_Robbie_0004.jpg,non_target,0,0,0,0,0,62,62,42,,,,,,,,,,,,,187.46981690000393,187.46981690000393,187.9704655999958,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/20_Emma_Stone_0005.jpg,non_target,0,0,0,0,0,63,63,63,,,,,,,,,,,,,188.48761240000022,188.48761240000022,188.97157379999408,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/22_Emma_Stone_0013.jpg,non_target,0,0,0,0,0,64,64,1,,,,,,,,,,,,,189.4755342999997,189.4755342999997,189.97667979999096,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/20_Emma_Watson_0007.jpg,non_target,0,0,0,0,0,65,65,96,,,,,,,,,,,,,190.48991030000616,190.48991030000616,190.9737574000028,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/18_Daniel_Radcliffe_0008.jpg,target,0,0,0,0,0,66,66,28,,,,,,,,,,,,,191.47518229999696,191.47518229999696,191.97486919999938,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/24_Daniel_Radcliffe_0017.jpg,target,0,0,0,0,0,67,67,71,,,,,,,,,,,,,192.47534360000282,192.47534360000282,192.97581780000473,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/26_Scarlett_Johansson_0003.jpg,non_target,0,0,0,0,0,68,68,105,,,,,,,,,,,,,193.47731419999036,193.47731419999036,193.97706979999202,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/22_Emma_Watson_0010.jpg,non_target,0,0,0,0,0,69,69,11,,,,,,,,,,,,,194.47874809999485,194.47874809999485,194.97816149998107,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/18_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,70,70,119,,,,,,,,,,,,,195.47875089998706,195.47875089998706,195.97911079999176,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
